id,work_year,experience_level,experience_label,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
61,2020,EN,Entry-level,PT,ML Engineer,14000,EUR,15966,DE,100,DE,S
62,,MI,Mid-level,FT,Computer Vision Software Engineer,81000,EUR,96554,DE,100,US,S
63,,EN,Entry-level,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M
64,,MI,Mid-level,FT,Financial Data Analyst,450000,USD,450000,US,100,US,L
65,2020,MI,Mid-level,FT,Data Scientist,60000,GBP,76958,GB,100,GB,S
66,,MI,Mid-level,FT,Cloud Data Engineer,120000,SGD,89514,SG,50,SG,L
67,,EN,Entry-level,FT,Data Scientist,2200000,INR,29831,IN,50,IN,L
68,,SE,Senior-level,FT,Lead Data Engineer,276000,USD,276000,US,0,US,L
69,2020,SE,Senior-level,FT,Data Engineer,188000,USD,188000,US,100,US,L
70,,SE,Senior-level,FT,Cloud Data Engineer,160000,USD,160000,BR,100,US,S
71,2020,MI,Mid-level,FT,Data Scientist,105000,USD,105000,US,100,US,L
72,,MI,Mid-level,FT,Data Engineer,200000,USD,200000,US,100,US,L
73,,SE,Senior-level,FT,Data Engineering Manager,174000,USD,174000,US,100,US,L
74,,MI,Mid-level,FT,Data Analyst,93000,USD,93000,US,100,US,L
75,,EN,Entry-level,FT,Data Scientist,2100000,INR,28475,IN,100,IN,M
76,,SE,Senior-level,FT,Research Scientist,51400,EUR,61270,PT,50,PT,L
77,,EN,Entry-level,FT,Data Scientist,90000,USD,90000,US,100,US,S
78,2020,MI,Mid-level,FT,Data Engineer,61500,EUR,70139,FR,50,FR,L
79,2020,EN,Entry-level,FT,Data Analyst,450000,INR,6072,IN,0,IN,S
80,2020,SE,Senior-level,FT,Data Engineer,720000,MXN,33511,MX,0,MX,S
81,,SE,Senior-level,FT,Principal Data Analyst,170000,USD,170000,US,100,US,M
82,,SE,Senior-level,FT,Data Engineer,70000,GBP,96833,GB,50,GB,L
83,,MI,Mid-level,FT,Data Engineer,108000,TRY,13105,TR,0,TR,M
84,,EN,Entry-level,FT,Data Scientist,31000,EUR,36952,FR,50,FR,L
85,,MI,Mid-level,FT,Data Engineer,52500,GBP,72625,GB,50,GB,L
86,2020,EN,Entry-level,FT,Data Analyst,91000,USD,91000,US,100,US,L
87,,SE,Senior-level,FT,Big Data Architect,125000,CAD,99956,CA,50,CA,M
88,,SE,Senior-level,FT,Data Scientist,165000,USD,165000,US,100,US,L
89,,MI,Mid-level,FT,Data Analyst,80000,USD,80000,US,100,US,L
90,,SE,Senior-level,FT,Data Scientist,130000,CAD,103954,CA,100,CA,L
91,,EN,Entry-level,FT,Data Engineer,1600000,INR,21695,IN,50,IN,M
92,2020,EN,Entry-level,FT,Research Scientist,42000,USD,42000,NL,50,NL,L
93,2020,MI,Mid-level,FT,Lead Data Scientist,115000,USD,115000,AE,0,AE,L
